date,ticker,asset_class,quantity,price
2026-01-01,AAPL,Equity,100,180.00
2026-01-01,MSFT,Equity,50,300.00
2026-01-01,GOOGL,Equity,40,140.00
2026-01-01,AMZN,Equity,30,150.00
2026-01-01,NVDA,Equity,20,450.00
2026-01-01,BND,Bond,200,70.00
2026-01-01,AGG,Bond,100,95.00
2026-01-01,MUB,Bond,150,80.00
2026-01-01,CASH,Cash,5000,1.00
2026-06-30,AAPL,Equity,100,195.00
2026-06-30,MSFT,Equity,50,320.00
2026-06-30,GOOGL,Equity,40,150.00
2026-06-30,AMZN,Equity,30,145.00
2026-06-30,NVDA,Equity,20,500.00
2026-06-30,BND,Bond,200,69.00
2026-06-30,AGG,Bond,100,96.00
2026-06-30,MUB,Bond,150,81.00
2026-06-30,CASH,Cash,5000,1.00
